ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
1171788930,2,0,0,0,0,0,0,0,0,23,2012,3,10,14,11,2012,5,18,10,51,0,0,0,0,0,0,0,0,0,0
1171796795,2,0,0,1,98,7,6,2,5,141,2011,12,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171804998,2,0,0,0,0,0,0,0,0,169,2012,4,27,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171885330,2,0,0,0,0,0,0,0,0,141,2012,3,2,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171905646,2,0,0,0,0,0,0,0,0,141,2012,2,23,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172009447,2,0,0,0,0,0,0,0,0,56,2011,12,14,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172062519,2,0,0,0,0,0,0,0,0,56,2012,1,25,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172065926,2,0,0,0,0,0,0,0,0,56,2012,4,13,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172195489,2,0,0,0,0,0,0,0,0,67,2012,3,17,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172257995,2,0,0,0,0,0,0,0,0,71,2011,12,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172260488,2,0,0,0,0,0,0,0,0,56,2012,1,12,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172275347,2,0,0,0,0,0,0,0,0,56,2012,3,7,13,29,2012,12,1,13,19,0,0,0,0,0,0,0,0,0,0
1172315614,2,0,0,1,16,1,7,7,20,27,2011,12,31,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172355449,2,0,0,0,0,0,0,0,0,56,2011,12,14,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172447763,2,0,0,0,0,0,0,0,0,56,2012,2,21,18,9,2012,5,16,9,20,0,0,0,0,0,0,0,0,0,0
1172558854,2,0,0,0,0,0,0,0,0,51,2012,2,7,8,44,2012,10,6,20,23,0,0,0,0,0,0,0,0,0,0
1172642102,2,0,0,0,0,0,0,0,0,56,2012,2,23,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172713884,2,0,0,0,0,0,0,0,0,56,2012,1,2,18,13,2012,4,3,20,40,0,0,0,0,0,0,0,0,0,0
1172718050,2,0,0,2,36,4,8,7,11,56,2012,3,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173039304,2,0,0,0,0,0,0,0,0,171,2012,3,24,21,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173192401,2,0,0,1,31,1,8,7,13,51,2012,3,7,8,58,2012,10,25,15,40,0,0,0,0,0,0,0,0,0,0
1173208843,2,0,0,0,0,0,0,0,0,169,2012,2,14,13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173250639,2,0,0,0,0,0,0,0,0,171,2012,3,2,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173257324,2,0,0,0,0,0,0,0,0,56,2012,3,2,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173265058,2,1,0,1,25,4,6,5,11,43,2012,1,18,22,5,0,0,0,0,0,2012,3,23,10,42,0,0,0,0,0
1173291939,2,0,0,0,0,0,0,0,0,56,2012,3,2,10,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173295601,2,0,0,0,0,0,0,0,0,56,2012,4,18,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173295753,2,0,0,0,0,0,0,0,0,56,2012,3,8,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173308900,2,0,0,0,0,0,0,0,0,56,2012,2,23,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173321325,2,0,0,1,14,2,8,5,13,23,2011,12,14,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173352480,2,0,0,0,0,0,0,0,0,120,2012,1,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173364649,2,0,0,0,0,0,0,0,0,171,2012,3,1,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173376654,2,0,0,0,0,0,0,0,0,83,2012,3,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173383957,2,0,0,0,0,0,0,0,0,56,2012,1,27,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173388234,2,0,0,0,0,0,0,0,0,56,2012,3,10,21,34,2012,6,4,16,21,0,0,0,0,0,0,0,0,0,0
1173388413,2,0,0,0,0,0,0,0,0,171,2012,1,7,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173389417,2,0,0,0,0,0,0,0,0,67,2012,2,18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
